location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
"By Herbert Macaulay Way, Yaba, Lagos Yaba Lagos",,,,,Commercial Property FOR Rent,1000000
"Olufunmilola Okikiolu Street By Toyin Street, Ikeja Toyin Street Ikeja Lagos",3,2,,,Commercial Property FOR Rent,5000000
"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",2,2,,,Flat Apartment FOR Rent,4000000
"Along Commercial Avenue, Sabo Yaba Lagos",,,,,Commercial Property FOR Rent,2000000
"Facing A Busy Road By Herbert Macaulay Way, Yaba Lagos",,,,,Commercial Property FOR Rent,1000000
"Sabo Alagomeji, Alagomeji Yaba Lagos",2,2,,,Flat Apartment FOR Rent,3000000
Ilupeju Lagos,2,2,,,Flat Apartment FOR Rent,4000000
Alagomeji Sabo Alagomeji Yaba Lagos,2,2,,,Flat Apartment FOR Rent,4000000
Sabo Alagomeji Yaba Lagos,2,,,,Flat Apartment FOR Rent,3000000
Yaba Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Sabo Alagomeji Yaba Lagos,2,2,,,Flat Apartment FOR Rent,4000000
Yaba Yaba Lagos,3,3,,,Flat Apartment FOR Rent,4500000
Alagomeji Yaba Lagos,3,3,,,Flat Apartment FOR Rent,6000000
"Sabo Alagomeji, Yaba Lagos",,,,,Flat Apartment FOR Rent,1500000
Sabo Alagomeji Yaba Lagos,2,,,,Flat Apartment FOR Rent,4500000
Yaba Lagos,,,,,Commercial Property FOR Rent,1500000
"Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",2,2,,,Flat Apartment FOR Rent,3500000
"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",3,,,,Flat Apartment FOR Rent,6000000
"Off Herbert Macaulay Way, Yaba Lagos",2,2,,,Flat Apartment FOR Rent,3000000
Sabo Alagomeji Yaba Lagos,3,3,,,Flat Apartment FOR Rent,4500000
"Yaba , Yaba Lagos",3,,,,Flat Apartment FOR Rent,3500000
Yaba Yaba Lagos,3,3,,,Flat Apartment FOR Rent,5000000
Alagomeji Yaba Lagos,3,3,,,Flat Apartment FOR Rent,7000000
Yaba Lagos,2,2,,,Flat Apartment FOR Rent,2000000
Surulere Lagos,3,3,,,Commercial Property FOR Rent,4500000
"Off Herbert Macaulay Way, Yaba Lagos",2,2,,,Flat Apartment FOR Rent,2500000
"Off Herbert Macaulay Way, Yaba ,lagos. Yaba Lagos",2,2,,,Flat Apartment FOR Rent,2800000
Shomolu Lagos,,,,,Commercial Property FOR Rent,2500000
Sabo Alagomeji Yaba Lagos,3,,,,Flat Apartment FOR Rent,6000000
Agidingbi Ikeja Lagos,,,,,Commercial Property FOR Rent,25000000
"In An Estate Off Herbert Macaulay Way, Yaba ,lagos. Yaba Lagos",3,3,,,House FOR Rent,9000000
"Alagomeji, Sabo Yaba Lagos",,,,,Commercial Property FOR Rent,4500000
"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",,,,,Commercial Property FOR Rent,5000000
"By Herbert Macaulay Way, Yaba, Lagos Yaba Lagos",,,,,Commercial Property FOR Rent,5000000
In An Estate In Yaba Yaba Lagos,3,3,,,Flat Apartment FOR Rent,5000000
Yaba Lagos,3,3,,,Flat Apartment FOR Rent,6000000
Yaba Lagos,3,2,,,Flat Apartment FOR Rent,4000000
Yaba Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Alagomeji Sabo Yaba Lagos,2,2,,,Flat Apartment FOR Rent,3500000
Yaba Yaba Lagos,,,,,Commercial Property FOR Rent,3500000
"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",3,3,,,Flat Apartment FOR Rent,5000000
University Of Lagos Road Abule Oja Yaba Lagos,,,,,Commercial Property FOR Rent,3000000
Yaba Lagos,,,,,Commercial Property FOR Rent,1500000
"Anthony, Lagos Anthony Village Maryland Lagos",2,2,,,Flat Apartment FOR Rent,5000000
"Off Herbert Macaulay Way, Yaba, Lagos. Yaba Lagos",2,2,,,Flat Apartment FOR Rent,5000000
