location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Old Ikoyi Ikoyi Lagos,4,,,,4 BEDROOM HOUSE,
Old Ikoyi Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Opic Estate Isheri North Ojodu Lagos,2,3,3,,2 BEDROOM BLOCK OF FLATS,
Wuye District Wuye Abuja Phase 2 Abuja,1,1,2,,1 BEDROOM FLAT & APARTMENT,
Off Freedom Way Lekki Lagos,1,1,,,1 BEDROOM STUDIO APARTMENT,
Victoria Island Victoria Island Lagos,4,4,4,,4 BEDROOM DUPLEX,
Azuri Tower Two Eko Atlantic Victoria Island Lagos,3,4,4,,3 BEDROOM FLAT & APARTMENT,
Ikeja Opebi Ikeja Lagos,4,5,5,,4 BEDROOM HOUSE,
Ikoyi Lagos,6,6,7,,6 BEDROOM COMMERCIAL PROPERTY,
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Ikate Elegushi Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Victoria Island Victoria Island Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lekki Lagos,5,,,,5 BEDROOM DETACHED DUPLEX,
Central Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lekki Lagos,3,,,,3 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,4,4,4,,4 BEDROOM DETACHED DUPLEX,
Olowora Olowora Ojodu Lagos,2,3,3,,2 BEDROOM SEMI DETACHED DUPLEX,
Ikoyi Lagos,4,,,,4 BEDROOM DETACHED DUPLEX,
Old Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Osapa London Lekki Lagos,4,,,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,4,4,4,,4 BEDROOM TERRACED DUPLEX,
Off Admiralty Way Lekki Phase 1 Lekki Lagos,,,,,OFFICE,
Lekki Phase 1 Lekki Lagos,3,,,,3 BEDROOM FLAT & APARTMENT,
Magodo Kosofe/ikosi Lagos,1,1,1,,1 BEDROOM STUDIO APARTMENT Short let,
Central Business District Central Area Abuja Phase 1 Abuja,,,,,OFFICE,
Jahi Abuja Phase 2 Abuja,3,3,4,,3 BEDROOM DUPLEX,
Magodo Phase1 Gra Magodo Gra Phase 1 Ojodu Lagos,2,3,3,,2 BEDROOM BLOCK OF FLATS,
Maple Estate Oko Oba Agege Lagos,2,3,3,,2 BEDROOM BLOCK OF FLATS,
"Azuri Tower Two, Eko Atlantic City Eko Atlantic Victoria Island Lagos",4,5,5,,4 BEDROOM FLAT & APARTMENT,
Lekki Lekki Lagos,5,5,5,,5 BEDROOM DETACHED DUPLEX,
Olowotedo Via Arepo Berger Lagos Extension Ogun,2,,,,2 BEDROOM BLOCK OF FLATS,
Ikoyi Ikoyi Lagos,4,4,4,,4 BEDROOM TERRACED DUPLEX,
"Amen Estate, Eleko Lekki Lagos",7,7,8,,7 BEDROOM DETACHED DUPLEX,
Bluewaters Apartments Oniru Victoria Island Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,,4,,,DETACHED DUPLEX,
Magodo Phase 2 Magodo Gra Phase 2 Kosofe/ikosi Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Periwinkle Estate Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM PENTHOUSE,
Azuri Tower One Eko Atlantic Victoria Island Lagos,4,5,5,,4 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Jakande Bus Stop Jakande Lekki Lagos,,,,,LAND,
Central Business District Central Area Abuja Phase 1 Abuja,,,,,OFFICE,
Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM FLAT & APARTMENT,
Banana Island Estate Banana Island Ikoyi Lagos,4,3,4,,4 BEDROOM TERRACE,
Banana Island Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
