location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Banana Island Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,60000000/year
Lekki Phase 1 Lekki Lagos,2,2,,,House FOR SHORTLET,5000000/month
Lekki Phase 1 Lekki Lagos,4,4,,,Commercial Property FOR Rent,30000000/year
Parkview Estate Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,25000000/year
Oniru Victoria Island Lagos,2,2,,,Flat Apartment FOR Rent,20000000/year
Victoria Island Lagos,4,4,,,Flat Apartment FOR Rent,45000000/year
Lekki Phase 1 Lekki Lagos,5,,,,Commercial Property FOR Rent,45000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,35000000/year
Lekki Phase 1 Lekki Lagos,4,,,,Commercial Property FOR Rent,25000000/year
Victoria Island Lagos,2,2,,,Flat Apartment FOR Rent,50000000/year
Idado Estate Lekki Lagos,3,4,,,Flat Apartment FOR Rent,4000000/year
"Fatai Kudirat Estate, Agungi Lekki Lagos",1,2,,,Flat Apartment FOR Rent,2300000/year
Royal Palmwill Estate Ajah Lagos,,,,,Commercial Property FOR Rent,500000/year
"Oloronbo, Basorun Ibadan Oyo",1,1,,,House FOR RENT,1500000/year
Badore Major Road Ajah Lagos,,,,,Commercial Property FOR Rent,4500000/year
Abraham Adesanya Ajah Lagos,1,1,,,Flat Apartment FOR Rent,650000/year
Abraham Adesanya Ajah Lagos,2,3,,,Flat Apartment FOR Rent,2500000/year
Ajiran Road Lekki Lagos,1,2,,,Flat Apartment FOR Rent,2400000/year
Glorious Estate Ajah Lagos,2,3,,,House FOR Rent,2500000/year
Ado Road Ajah Lagos,1,2,,,Flat Apartment FOR Rent,1000000/year
Langbasa Ajah Lagos,2,3,,,Flat Apartment FOR Rent,2500000/year
Ado Road Ajah Lagos,1,2,,,Flat Apartment FOR Rent,1500000/year
Mobile Road Ajah Lagos,3,4,,,Flat Apartment FOR Rent,3500000/year
Ikate Lekki Lagos,2,2,,,Flat / Apartment FOR SALE,195000000
Salvation Estate Langbasa Ajah Lagos,1,2,,,Flat Apartment FOR Rent,1200000/year
Salvation Estate Langbasa Ajah Lagos,1,2,,,Flat Apartment FOR Rent,1500000/year
Palm Crescent Estate Ajah Lagos,2,3,,,Flat Apartment FOR Rent,2200000/year
Salvation Estate Langbasa Ajah Lagos,1,2,,,Flat Apartment FOR Rent,1050000/year
Peace Estate Badore Ajah Lagos,2,3,,,Flat Apartment FOR Rent,1500000/year
Ologolo Lekki Lagos,1,2,,,Flat Apartment FOR Rent,5000000/year
"Fatai Kudirat Estate, Agungi Lekki Lagos",1,2,,,Flat Apartment FOR Rent,3000000/year
Ologolo Lekki Lagos,,,,,Co Working Space FOR Rent,100000/day
Illasan Lekki Lagos,2,3,,,Flat Apartment FOR Rent,15000000/year
Ologolo Lekki Lagos,2,3,,,House FOR Rent,80000000
Unity Estate Ajah Lagos,1,2,,,Flat Apartment FOR Rent,1200000/year
Ikate Lekki Lagos,2,2,,,House FOR RENT,14000000/year
4 Bedroom Apartment For Rent Ikoyi Lagos,4,4,,,House FOR Rent,30000000/year
4 Bedroom Terrace For Rent Ikota Lekki Lagos,4,4,,,House FOR Rent,7500000/year
1 Bedroom Apartment For Rent Oniru Victoria Island Lagos,1,1,,,Flat Apartment FOR Rent,8000000/year
Ajah Lagos,4,4,,,House FOR Rent,8000000/year
2 Bedroom Apartment For Rent Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,7000000/year
4 Bedroom Terrace For Rent Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,25000000
4 Bedroom Duplex For Rent Orchid Lekki Lagos,4,4,,,House FOR Rent,10000000/year
Chevron Lekki Lagos,4,4,,,House FOR Rent,15000000
Studio Apartment For Rent Ikate Lekki Lagos,,,,,Flat Apartment FOR Rent,7000000
F01 Kubwa Abuja,4,4,,,House FOR SALE,165000000/year
4 Bedroom Duplex For Rent (can Be Used For Commercial) Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,25000000/year
2 Bedroom Apartment For Rent Ikate Lekki Lagos,2,2,,,House FOR Rent,6500000/year
Orchid Lekki Lagos,2,2,,,Flat Apartment FOR Rent,7000000/year
4 Bedroom Duplex For Rent Chevron Lekki Lagos,4,4,,,House FOR Rent,10000000/year
5 Bedroom Duplex For Rent Chevron Lekki Lagos,5,5,,,House FOR Rent,25000000/year
4 Bedroom Duplex For Rent Ologolo Lekki Lagos,4,4,,,House FOR Rent,11000000/year
3 Bedroom Apartment For Rent Oniru Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,12000000/year
4 Bedroom Terrace For Rent Oniru Victoria Island Lagos,4,4,,,House FOR Rent,25000000/year
4 Bedroom Terrace Duplex For Rent Ajah Lagos,4,4,,,House FOR Rent,6500000/year
3 Bedroom Apartment For Rent Victoria Island Lagos,3,3,,,House FOR Rent,25000000/year
2 Bedroom Apartment For Rent Oniru Victoria Island Lagos,2,2,,,Flat Apartment FOR Rent,12000000/year
Gwarinpa Abuja,3,4,,,House FOR RENT,6000000/year
4 Bedroom Duplex For Rent Orchid Lekki Lagos,4,4,,,House FOR Rent,13000000/year
2 Bedroom Apartment For Rent Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,9000000
5 Bedroom Duplex For Rent In A Secured And Serene Estate Ikoyi Lagos,5,5,,,House FOR Rent,40000000/year
